"user_id","age","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","total_clicks","total_nights","total_rooms","avg_hotel_per_room_usd","avg_base_fare_usd","session_count","avg_session_duration_in_seconds","total_cancellation","total_flight_with_discount","total_hotel_with_discount","avg_flight_discount","avg_hotel_discount","con_rate_flights","con_rate_hotels","con_rate_combined","total_return_flight_booked","age_bucket","family_status","activity_level","cancellation_behavior","discount_usage_behavior","booking_type_preference","interaction_duration","loyalty_level","hotel_price_category","flight_fare_category","total_trips","total_flight_booked","total_hotel_booked","total_seats","money_spent_hotel","money_spent_filght","money_spent_booking","total_time_before_trip","miles_flown"
"23557","65","F","true","false","usa","new york","LGA","40.777","-73.872","2021-07-22","185","22","4","157.33","448.32","12","296","1","2","3","0.15","0.18","0.25","0.33","0.58","3","50+","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","2","3","1","3906.50","83.6910","3990.1910","6","576.18"
"94883","52","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-02-07","100","2","3","90.00","1784.95","12","62","0","1","2","0.10","0.08","0.25","0.17","0.42","3","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Budget","Luxury","3","6","2","5","230","5354.86","5584.86","181","15911.00"
"101486","51","F","true","true","usa","tacoma","TCM","47.138","-122.476","2022-02-17","340","38","8","154.20","1498.57","13","660","1","5","1","0.08","","0.31","0.38","0.69","4","50+","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","3","4","3","2","2387","351.7425","2738.7425","17","1991.36"
"101961","44","F","true","false","usa","boston","BOS","42.364","-71.005","2022-02-17","218","23","7","150.29","321.53","12","135","0","3","1","0.13","0.10","0.50","0.58","1.08","6","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","7","12","7","6","3151","1924.233","5075.233","36","10838.48"
"106907","46","F","true","true","usa","miami","TNT","25.862","-80.897","2022-02-24","368","34","8","167.25","9323.21","14","502","1","2","2","0.15","0.20","0.21","0.29","0.50","2","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","2","1","2","1","2185.2","165.51","2350.71","5","2084.78"
"118043","52","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-03-10","210","22","5","227.25","491.66","13","227","1","4","5","0.17","0.13","0.38","0.38","0.77","5","50+","Single With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","6","4","6","5616.45","2339.29","7955.74","26","7515.50"
"120851","52","F","true","true","usa","santa ana","SNA","33.676","-117.868","2022-03-13","329","24","3","170.00","1585.14","13","628","1","5","1","0.18","","0.38","0.31","0.69","5","50+","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","3","6","3","3","4574","808.954","5382.954","17","4467.36"
"125845","40","F","true","false","usa","el paso","BIF","31.849","-106.38","2022-03-19","340","29","7","207.17","2076.81","13","676","1","3","4","0.15","0.07","0.46","0.46","0.92","6","36-50","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","4","8","4","5","876.2","2067.7170","2943.9170","34","11463.36"
"133058","19","F","false","false","usa","austin","AUS","30.194","-97.67","2022-03-27","113","5","1","205.00","423.51","13","65","0","1","3","0.15","0.08","0.08","0.08","0.15","1","17-25","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Mid-Range","Mid-Range","2","2","1","1","871.25","423.51","1294.76","6","2887.18"
"149058","51","F","false","true","usa","birmingham","BHM","33.563","-86.753","2022-04-14","185","52","8","166.71","564.88","12","158","1","2","1","0.05","","0.58","0.58","1.17","7","50+","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","5","6","5579","1919.1325","7498.1325","29","9799.36"
